Valuation ID,Item,Item Primary Key,Category,Subcategory,Unit,Item Amount,Item Unit Value,Inventory Value
INV-2025-01,Cold Brew Concentrate,NAB-028,Non-Alcoholic Beverage,Coffee,gallon,27,19.57,528.39
INV-2025-01,Half & Half,NAB-029,Non-Alcoholic Beverage,Milk/Dairy Bev,quart,22,4.92,108.24
INV-2025-01,Powerade Blue,NAB-030,Non-Alcoholic Beverage,Energy/Sports,case of 24,9,17.9,161.1
INV-2025-01,Domestic Draft Lager Keg,ALC-001,Alcoholic Beverage,Beer,1/2 barrel keg,8,114.48,915.84
INV-2025-01,Craft IPA Keg,ALC-002,Alcoholic Beverage,Beer,1/6 barrel keg,10,105.9,1059.0
INV-2025-01,"Mexican Lager, Bottled",ALC-003,Alcoholic Beverage,Beer,case of 24,15,38.5,577.5
INV-2025-01,"Wheat Beer, Bottled",ALC-004,Alcoholic Beverage,Beer,case of 24,23,33.9,779.7
INV-2025-01,Light Lager Draft Keg,ALC-005,Alcoholic Beverage,Beer,1/2 barrel keg,10,97.38,973.8
INV-2025-01,"Cabernet Sauvignon, House Red",ALC-006,Alcoholic Beverage,Wine,case of 12,29,85.66,2484.14
INV-2025-01,"Chardonnay, House White",ALC-007,Alcoholic Beverage,Wine,case of 12,4,79.51,318.04
INV-2025-01,Pinot Noir,ALC-008,Alcoholic Beverage,Wine,case of 12,4,137.35,549.4
INV-2025-01,Sauvignon Blanc,ALC-009,Alcoholic Beverage,Wine,case of 12,15,97.54,1463.1
INV-2025-01,Prosecco,ALC-010,Alcoholic Beverage,Wine,case of 12,9,120.53,1084.77
INV-2025-01,Rosé,ALC-011,Alcoholic Beverage,Wine,case of 12,21,93.76,1968.96
INV-2025-01,"Vodka, Well",ALC-012,Alcoholic Beverage,Spirits,1.75L bottle,13,23.86,310.18
INV-2025-01,"Vodka, Premium",ALC-013,Alcoholic Beverage,Spirits,1L bottle,18,32.53,585.54
INV-2025-01,"Gin, Well",ALC-014,Alcoholic Beverage,Spirits,1.75L bottle,23,21.25,488.75
INV-2025-01,"Tequila, Blanco Premium",ALC-015,Alcoholic Beverage,Spirits,1L bottle,11,32.6,358.6
INV-2025-01,"Tequila, Reposado Premium",ALC-016,Alcoholic Beverage,Spirits,1L bottle,26,46.0,1196.0
INV-2025-01,"Bourbon, Well",ALC-017,Alcoholic Beverage,Spirits,1.75L bottle,11,31.18,342.98
INV-2025-01,"Bourbon, Premium",ALC-018,Alcoholic Beverage,Spirits,750ml bottle,16,46.74,747.84
INV-2025-01,"Rum, White",ALC-019,Alcoholic Beverage,Spirits,1.75L bottle,15,19.48,292.2
INV-2025-01,"Rum, Spiced",ALC-020,Alcoholic Beverage,Spirits,1L bottle,7,20.72,145.04
INV-2025-01,"Whiskey, Rye",ALC-021,Alcoholic Beverage,Spirits,750ml bottle,5,39.28,196.4
INV-2025-01,"Scotch, Blended",ALC-022,Alcoholic Beverage,Spirits,750ml bottle,30,27.7,831.0
INV-2025-01,Triple Sec,ALC-023,Alcoholic Beverage,Liqueur,1L bottle,23,14.74,339.02
INV-2025-01,Coffee Liqueur,ALC-024,Alcoholic Beverage,Liqueur,750ml bottle,24,25.39,609.36
INV-2025-01,Amaretto,ALC-025,Alcoholic Beverage,Liqueur,750ml bottle,5,21.12,105.6
INV-2025-01,"Stout, Bottled",ALC-026,Alcoholic Beverage,Beer,case of 24,22,47.44,1043.68
INV-2025-01,Non-Alcoholic Beer,ALC-027,Alcoholic Beverage,Beer,case of 24,19,33.8,642.2
INV-2025-01,"Champagne, Brut",ALC-028,Alcoholic Beverage,Wine,case of 6,20,124.22,2484.4
INV-2025-01,Mezcal,ALC-029,Alcoholic Beverage,Spirits,750ml bottle,3,42.95,128.85
INV-2025-01,"Vermouth, Dry",ALC-030,Alcoholic Beverage,Liqueur,1L bottle,6,12.79,76.74
INV-2025-01,All-Purpose Flour,DRY-001,Dry Goods & Spices,Flour,50 lb bag,39,23.44,914.16
INV-2025-01,Bread Flour,DRY-002,Dry Goods & Spices,Flour,50 lb bag,46,23.94,1101.24
INV-2025-01,Cornmeal,DRY-003,Dry Goods & Spices,Flour,25 lb bag,23,16.73,384.79
INV-2025-01,"White Rice, Long Grain",DRY-004,Dry Goods & Spices,Grain,50 lb bag,34,32.66,1110.44
INV-2025-01,Jasmine Rice,DRY-005,Dry Goods & Spices,Grain,50 lb bag,21,36.5,766.5
INV-2025-01,Quinoa,DRY-006,Dry Goods & Spices,Grain,10 lb bag,16,29.56,472.96
INV-2025-01,"Spaghetti, Dry",DRY-007,Dry Goods & Spices,Pasta,20 lb case,11,22.06,242.66
INV-2025-01,"Penne, Dry",DRY-008,Dry Goods & Spices,Pasta,20 lb case,24,19.44,466.56
INV-2025-01,"Black Beans, Dry",DRY-009,Dry Goods & Spices,Legume,25 lb bag,37,22.87,846.19
INV-2025-01,"Pinto Beans, Dry",DRY-010,Dry Goods & Spices,Legume,25 lb bag,14,21.55,301.7
INV-2025-01,Granulated Sugar,DRY-011,Dry Goods & Spices,Sugar,50 lb bag,15,25.28,379.2
INV-2025-01,Brown Sugar,DRY-012,Dry Goods & Spices,Sugar,25 lb bag,38,18.67,709.46
INV-2025-01,Powdered Sugar,DRY-013,Dry Goods & Spices,Sugar,25 lb bag,43,20.26,871.18
INV-2025-01,Kosher Salt,DRY-014,Dry Goods & Spices,Spice,25 lb bag,6,9.66,57.96
INV-2025-01,"Black Pepper, Ground",DRY-015,Dry Goods & Spices,Spice,1 lb bag,28,14.65,410.2
INV-2025-01,"Paprika, Smoked",DRY-016,Dry Goods & Spices,Spice,1 lb bag,24,9.58,229.92
INV-2025-01,"Cumin, Ground",DRY-017,Dry Goods & Spices,Spice,1 lb bag,20,13.99,279.8
INV-2025-01,Chili Powder,DRY-018,Dry Goods & Spices,Spice,1 lb bag,10,8.66,86.6
INV-2025-01,Garlic Powder,DRY-019,Dry Goods & Spices,Spice,1 lb bag,36,8.86,318.96
INV-2025-01,Onion Powder,DRY-020,Dry Goods & Spices,Spice,1 lb bag,39,9.71,378.69
INV-2025-01,Cayenne Pepper,DRY-021,Dry Goods & Spices,Spice,1 lb bag,13,9.72,126.36
INV-2025-01,"Oregano, Dried",DRY-022,Dry Goods & Spices,Spice,1 lb bag,40,12.54,501.6
INV-2025-01,"Cinnamon, Ground",DRY-023,Dry Goods & Spices,Spice,1 lb bag,38,9.85,374.3
INV-2025-01,Baking Powder,DRY-024,Dry Goods & Spices,Baking,10 lb can,32,20.69,662.08
INV-2025-01,Baking Soda,DRY-025,Dry Goods & Spices,Baking,12 lb box,39,10.84,422.76
INV-2025-01,Cocoa Powder,DRY-026,Dry Goods & Spices,Baking,5 lb bag,49,20.21,990.29
INV-2025-01,Panko Bread Crumbs,DRY-027,Dry Goods & Spices,Breading,25 lb case,24,33.24,797.76
INV-2025-01,Seasoned Bread Crumbs,DRY-028,Dry Goods & Spices,Breading,25 lb case,47,30.91,1452.77
INV-2025-01,Sesame Seeds,DRY-029,Dry Goods & Spices,Nuts/Seeds,5 lb bag,33,21.84,720.72
INV-2025-01,Sliced Almonds,DRY-030,Dry Goods & Spices,Nuts/Seeds,5 lb bag,33,27.93,921.69
INV-2025-01,Frozen Peas,FRZ-001,Frozen/Refrigerated Goods,Frozen Vegetable,20 lb case,19,23.3,442.7
INV-2025-01,Frozen Corn,FRZ-002,Frozen/Refrigerated Goods,Frozen Vegetable,20 lb case,6,24.88,149.28
INV-2025-01,Frozen Broccoli Florets,FRZ-003,Frozen/Refrigerated Goods,Frozen Vegetable,20 lb case,19,30.09,571.71
INV-2025-01,"Frozen Spinach, Chopped",FRZ-004,Frozen/Refrigerated Goods,Frozen Vegetable,20 lb case,5,24.49,122.45
INV-2025-01,"French Fries, Straight Cut",FRZ-005,Frozen/Refrigerated Goods,Frozen Potato,30 lb case,8,32.02,256.16
INV-2025-01,Tater Tots,FRZ-006,Frozen/Refrigerated Goods,Frozen Potato,30 lb case,7,32.74,229.18
INV-2025-01,"Hash Browns, Shredded",FRZ-007,Frozen/Refrigerated Goods,Frozen Potato,20 lb case,9,27.69,249.21
INV-2025-01,"Dinner Rolls, Par-Baked",FRZ-008,Frozen/Refrigerated Goods,Frozen Bread,case of 200,22,40.35,887.7
INV-2025-01,Pizza Dough Balls,FRZ-009,Frozen/Refrigerated Goods,Frozen Bread,case of 40,18,39.84,717.12
INV-2025-01,Vanilla Ice Cream,FRZ-010,Frozen/Refrigerated Goods,Frozen Dessert,3 gal tub,35,25.05,876.75
INV-2025-01,Chocolate Ice Cream,FRZ-011,Frozen/Refrigerated Goods,Frozen Dessert,3 gal tub,35,29.83,1044.05
INV-2025-01,"Cheesecake, Uncut",FRZ-012,Frozen/Refrigerated Goods,Frozen Dessert,10 inch,17,18.41,312.97
INV-2025-01,Frozen Mixed Berries,FRZ-013,Frozen/Refrigerated Goods,Frozen Fruit,10 lb bag,32,33.54,1073.28
INV-2025-01,Frozen Mango Chunks,FRZ-014,Frozen/Refrigerated Goods,Frozen Fruit,10 lb bag,31,25.87,801.97
INV-2025-01,Shredded Mozzarella,FRZ-015,Frozen/Refrigerated Goods,Dairy,5 lb bag,8,19.26,154.08
INV-2025-01,Shredded Cheddar,FRZ-016,Frozen/Refrigerated Goods,Dairy,5 lb bag,11,17.06,187.66
INV-2025-01,"Parmesan, Grated",FRZ-017,Frozen/Refrigerated Goods,Dairy,5 lb bag,26,36.02,936.52
INV-2025-01,Cream Cheese,FRZ-018,Frozen/Refrigerated Goods,Dairy,3 lb block,11,11.72,128.92
INV-2025-01,"Butter, Unsalted",FRZ-019,Frozen/Refrigerated Goods,Dairy,36 lb case,17,111.03,1887.51
INV-2025-01,Heavy Cream,FRZ-020,Frozen/Refrigerated Goods,Dairy,quart,13,5.03,65.39
INV-2025-01,Sour Cream,FRZ-021,Frozen/Refrigerated Goods,Dairy,5 lb tub,22,15.23,335.06
INV-2025-01,"Eggs, Large",FRZ-022,Frozen/Refrigerated Goods,Dairy,case of 15 dz,9,53.68,483.12
INV-2025-01,"Frozen Shrimp, 21/25",FRZ-023,Frozen/Refrigerated Goods,Frozen Protein,5 lb bag,40,59.21,2368.4
INV-2025-01,Frozen Chicken Wings,FRZ-024,Frozen/Refrigerated Goods,Frozen Protein,40 lb case,39,110.66,4315.74
INV-2025-01,Frozen Salmon Fillets,FRZ-025,Frozen/Refrigerated Goods,Frozen Protein,10 lb box,10,103.72,1037.2
INV-2025-01,Mozzarella Sticks,FRZ-026,Frozen/Refrigerated Goods,Frozen Appetizer,case of 240,20,54.55,1091.0
INV-2025-01,"Spring Rolls, Vegetable",FRZ-027,Frozen/Refrigerated Goods,Frozen Appetizer,case of 100,36,61.49,2213.64
INV-2025-01,"Yogurt, Plain",FRZ-028,Frozen/Refrigerated Goods,Dairy,5 lb tub,30,15.06,451.8
INV-2025-01,Frozen Diced Onions,FRZ-029,Frozen/Refrigerated Goods,Frozen Vegetable,20 lb case,15,25.91,388.65
INV-2025-01,"Pie Crust, Frozen 9in",FRZ-030,Frozen/Refrigerated Goods,Frozen Dessert,case of 24,29,31.44,911.76
INV-2025-01,Canola Oil,LIQ-001,Liquids/Pastes/Sauces,Oil,35 lb jug,28,44.53,1246.84
INV-2025-01,"Olive Oil, Extra Virgin",LIQ-002,Liquids/Pastes/Sauces,Oil,3 L tin,12,25.9,310.8
INV-2025-01,Vegetable Oil,LIQ-003,Liquids/Pastes/Sauces,Oil,35 lb jug,26,42.15,1095.9
INV-2025-01,Sesame Oil,LIQ-004,Liquids/Pastes/Sauces,Oil,1 gal jug,20,28.96,579.2
INV-2025-01,White Vinegar,LIQ-005,Liquids/Pastes/Sauces,Vinegar,1 gal jug,18,6.91,124.38
INV-2025-01,Balsamic Vinegar,LIQ-006,Liquids/Pastes/Sauces,Vinegar,1 gal jug,12,24.36,292.32
INV-2025-01,Rice Wine Vinegar,LIQ-007,Liquids/Pastes/Sauces,Vinegar,1 gal jug,4,20.14,80.56
INV-2025-01,Soy Sauce,LIQ-008,Liquids/Pastes/Sauces,Sauce,1 gal jug,20,11.8,236.0
INV-2025-01,Hot Sauce,LIQ-009,Liquids/Pastes/Sauces,Sauce,1 gal jug,13,22.02,286.26
INV-2025-01,Worcestershire Sauce,LIQ-010,Liquids/Pastes/Sauces,Sauce,1 gal jug,21,17.51,367.71
INV-2025-01,BBQ Sauce,LIQ-011,Liquids/Pastes/Sauces,Sauce,1 gal jug,30,16.7,501.0
INV-2025-01,Buffalo Wing Sauce,LIQ-012,Liquids/Pastes/Sauces,Sauce,1 gal jug,4,22.98,91.92
INV-2025-01,Teriyaki Sauce,LIQ-013,Liquids/Pastes/Sauces,Sauce,1 gal jug,5,19.28,96.4
INV-2025-01,Ranch Dressing,LIQ-014,Liquids/Pastes/Sauces,Sauce,1 gal jug,5,20.43,102.15
INV-2025-01,Caesar Dressing,LIQ-015,Liquids/Pastes/Sauces,Sauce,1 gal jug,24,20.29,486.96
INV-2025-01,"Vinaigrette, Balsamic",LIQ-016,Liquids/Pastes/Sauces,Sauce,1 gal jug,15,20.21,303.15
INV-2025-01,Tomato Paste,LIQ-017,Liquids/Pastes/Sauces,Paste,#10 can,21,11.74,246.54
INV-2025-01,Garlic Paste,LIQ-018,Liquids/Pastes/Sauces,Paste,4 lb tub,22,14.69,323.18
INV-2025-01,Ginger Paste,LIQ-019,Liquids/Pastes/Sauces,Paste,4 lb tub,5,17.95,89.75
INV-2025-01,"Curry Paste, Red",LIQ-020,Liquids/Pastes/Sauces,Paste,14 oz can,21,6.33,132.93
INV-2025-01,Crushed Tomatoes,LIQ-021,Liquids/Pastes/Sauces,Canned Tomato,#10 can,13,11.35,147.55
INV-2025-01,Diced Tomatoes,LIQ-022,Liquids/Pastes/Sauces,Canned Tomato,#10 can,9,8.85,79.65
INV-2025-01,Tomato Puree,LIQ-023,Liquids/Pastes/Sauces,Canned Tomato,#10 can,13,7.81,101.53
INV-2025-01,"Chicken Stock, Liquid",LIQ-024,Liquids/Pastes/Sauces,Stock/Broth,1 gal jug,15,14.72,220.8
INV-2025-01,"Beef Stock, Liquid",LIQ-025,Liquids/Pastes/Sauces,Stock/Broth,1 gal jug,23,16.12,370.76
INV-2025-01,"Vegetable Stock, Liquid",LIQ-026,Liquids/Pastes/Sauces,Stock/Broth,1 gal jug,13,17.91,232.83
INV-2025-01,Marinara Sauce,LIQ-027,Liquids/Pastes/Sauces,Sauce,#10 can,5,12.25,61.25
INV-2025-01,Alfredo Sauce,LIQ-028,Liquids/Pastes/Sauces,Sauce,4 lb tub,22,19.22,422.84
INV-2025-01,Sriracha,LIQ-029,Liquids/Pastes/Sauces,Sauce,1 gal jug,6,21.78,130.68
INV-2025-01,Honey,LIQ-030,Liquids/Pastes/Sauces,Honey/Syrup,5 lb jug,9,19.2,172.8
INV-2025-01,Romaine Lettuce,PRD-001,Produce & Meat,Produce,case of 24 heads,6,36.47,218.82
INV-2025-01,Iceberg Lettuce,PRD-002,Produce & Meat,Produce,case of 24 heads,4,28.98,115.92
INV-2025-01,"Tomatoes, Roma",PRD-003,Produce & Meat,Produce,25 lb case,13,35.36,459.68
INV-2025-01,"Onions, Yellow",PRD-004,Produce & Meat,Produce,50 lb bag,16,25.75,412.0
INV-2025-01,"Garlic, Fresh",PRD-005,Produce & Meat,Produce,10 lb case,24,35.76,858.24
INV-2025-01,"Bell Peppers, Green",PRD-006,Produce & Meat,Produce,25 lb case,22,39.52,869.44
INV-2025-01,"Bell Peppers, Red",PRD-007,Produce & Meat,Produce,25 lb case,23,44.36,1020.28
INV-2025-01,Avocados,PRD-008,Produce & Meat,Produce,case of 48,11,70.93,780.23
INV-2025-01,Limes,PRD-009,Produce & Meat,Produce,case of 200,5,42.4,212.0
INV-2025-01,Lemons,PRD-010,Produce & Meat,Produce,case of 165,6,37.67,226.02
INV-2025-01,"Potatoes, Russet",PRD-011,Produce & Meat,Produce,50 lb bag,5,33.4,167.0
INV-2025-01,Carrots,PRD-012,Produce & Meat,Produce,25 lb bag,6,23.74,142.44
INV-2025-01,Celery,PRD-013,Produce & Meat,Produce,case of 30,21,28.56,599.76
INV-2025-01,"Mushrooms, White Button",PRD-014,Produce & Meat,Produce,10 lb case,12,31.93,383.16
INV-2025-01,Cilantro,PRD-015,Produce & Meat,Produce,case of 30 bunches,22,25.49,560.78
INV-2025-01,Jalapeños,PRD-016,Produce & Meat,Produce,10 lb case,18,17.88,321.84
INV-2025-01,Cucumbers,PRD-017,Produce & Meat,Produce,case of 24,3,18.97,56.91
INV-2025-01,"Spinach, Fresh",PRD-018,Produce & Meat,Produce,4 lb case,15,20.38,305.7
INV-2025-01,"Basil, Fresh",PRD-019,Produce & Meat,Produce,case of 12 bunches,3,21.96,65.88
INV-2025-01,"Ginger, Fresh",PRD-020,Produce & Meat,Produce,10 lb case,6,30.8,184.8
INV-2025-01,"Ground Beef, 80/20",PRD-021,Produce & Meat,Meat,case,10,4.81,48.1
INV-2025-01,"Chicken Breast, Boneless",PRD-022,Produce & Meat,Meat,case,16,4.71,75.36
INV-2025-01,"Chicken Thighs, Boneless",PRD-023,Produce & Meat,Meat,case,15,3.93,58.95
INV-2025-01,Pork Shoulder,PRD-024,Produce & Meat,Meat,case,5,3.5,17.5
INV-2025-01,"Bacon, Sliced",PRD-025,Produce & Meat,Meat,15 lb case,24,74.6,1790.4
INV-2025-01,NY Strip Steak,PRD-026,Produce & Meat,Meat,case,19,14.1,267.9
INV-2025-01,Ribeye Steak,PRD-027,Produce & Meat,Meat,case,13,19.65,255.45
INV-2025-01,Ground Pork,PRD-028,Produce & Meat,Meat,case,6,3.83,22.98
INV-2025-01,"Salmon Fillet, Fresh",PRD-029,Produce & Meat,Seafood,case,3,12.93,38.79
INV-2025-01,"Shrimp, Fresh 16/20",PRD-030,Produce & Meat,Seafood,case,3,12.59,37.77
INV-2025-01,"To-Go Containers, 32oz",SUP-001,Supplies,To-Go,case of 150,36,37.47,1348.92
INV-2025-01,"To-Go Cups, 16oz",SUP-002,Supplies,To-Go,case of 1000,95,62.08,5897.6
INV-2025-01,"To-Go Cup Lids, Dome",SUP-003,Supplies,To-Go,case of 1000,81,34.27,2775.87
INV-2025-01,"Paper Bags, Kraft",SUP-004,Supplies,To-Go,case of 500,62,35.07,2174.34
INV-2025-01,"Napkins, Dinner",SUP-005,Supplies,Disposable,case of 3000,29,34.77,1008.33
INV-2025-01,"Straws, Wrapped",SUP-006,Supplies,Disposable,box of 500,40,10.23,409.2
INV-2025-01,"Plastic Cutlery, Forks",SUP-007,Supplies,Disposable,box of 1000,32,20.17,645.44
INV-2025-01,"Plastic Cutlery, Spoons",SUP-008,Supplies,Disposable,box of 1000,13,16.36,212.68
INV-2025-01,Toothpicks,SUP-009,Supplies,Disposable,box of 1000,52,4.4,228.8
INV-2025-01,"Dish Soap, Concentrate",SUP-010,Supplies,Cleaning,1 gal jug,62,26.84,1664.08
INV-2025-01,"Degreaser, Kitchen",SUP-011,Supplies,Cleaning,1 gal jug,41,20.19,827.79
INV-2025-01,Sanitizer Solution,SUP-012,Supplies,Cleaning,1 gal jug,99,16.89,1672.11
INV-2025-01,Bleach,SUP-013,Supplies,Cleaning,1 gal jug,14,8.25,115.5
INV-2025-01,Glass Cleaner,SUP-014,Supplies,Cleaning,1 gal jug,38,14.89,565.82
INV-2025-01,"Paper Towels, Roll",SUP-015,Supplies,Paper Goods,case of 12,68,40.34,2743.12
INV-2025-01,"Toilet Paper, Roll",SUP-016,Supplies,Paper Goods,case of 48,39,41.04,1600.56
INV-2025-01,Butcher Paper Roll,SUP-017,Supplies,Paper Goods,roll,94,29.26,2750.44
INV-2025-01,Parchment Paper Sheets,SUP-018,Supplies,Paper Goods,box of 1000,52,38.95,2025.4
INV-2025-01,Plastic Wrap Roll,SUP-019,Supplies,Wrap/Film,roll,18,21.43,385.74
INV-2025-01,Aluminum Foil Roll,SUP-020,Supplies,Wrap/Film,roll,45,29.77,1339.65
INV-2025-01,"Disposable Gloves, Nitrile",SUP-021,Supplies,Gloves,case of 1000,75,56.03,4202.25
INV-2025-01,"Disposable Gloves, Vinyl",SUP-022,Supplies,Gloves,case of 1000,78,35.19,2744.82
INV-2025-01,Food Storage Containers,SUP-023,Supplies,Storage,case of 100,13,34.56,449.28
INV-2025-01,Container Lids,SUP-024,Supplies,Storage,case of 100,43,23.52,1011.36
INV-2025-01,"Deli Cups w/ Lids, 8oz",SUP-025,Supplies,Storage,case of 500,43,34.45,1481.35
INV-2025-01,Hand Soap,SUP-026,Supplies,Chemical,1 gal jug,86,16.07,1382.02
INV-2025-01,Hand Sanitizer,SUP-027,Supplies,Chemical,1 gal jug,50,19.96,998.0
INV-2025-01,Chafing Fuel Cans,SUP-028,Supplies,Small Wares,case of 24,75,37.26,2794.5
INV-2025-01,Aluminum Steam Table Pans,SUP-029,Supplies,Small Wares,case of 50,83,53.13,4409.79
INV-2025-01,"Menu Paper, Cardstock",SUP-030,Supplies,Menu/Marketing,ream of 500,15,20.82,312.3
INV-2025-02,Coca-Cola Syrup BIB,NAB-001,Non-Alcoholic Beverage,Soda,5 gal bag-in-box,28,67.04,1877.12
INV-2025-02,Diet Coke Syrup BIB,NAB-002,Non-Alcoholic Beverage,Soda,5 gal bag-in-box,26,61.08,1588.08
INV-2025-02,Sprite Syrup BIB,NAB-003,Non-Alcoholic Beverage,Soda,5 gal bag-in-box,12,70.94,851.28
INV-2025-02,Ginger Ale Syrup BIB,NAB-004,Non-Alcoholic Beverage,Soda,5 gal bag-in-box,24,66.89,1605.36
INV-2025-02,Still Water 16.9oz,NAB-005,Non-Alcoholic Beverage,Bottled Water,case of 24,31,6.68,207.08
INV-2025-02,Sparkling Water 12oz,NAB-006,Non-Alcoholic Beverage,Bottled Water,case of 24,23,17.52,402.96
INV-2025-02,Orange Juice Concentrate,NAB-007,Non-Alcoholic Beverage,Juice,gallon,17,11.57,196.69
INV-2025-02,Cranberry Juice Cocktail,NAB-008,Non-Alcoholic Beverage,Juice,gallon,29,9.37,271.73
INV-2025-02,Pineapple Juice,NAB-009,Non-Alcoholic Beverage,Juice,46 oz can,16,4.48,71.68
INV-2025-02,Lemon Juice (bottled),NAB-010,Non-Alcoholic Beverage,Juice,32 oz bottle,24,4.58,109.92
INV-2025-02,Lime Juice (bottled),NAB-011,Non-Alcoholic Beverage,Juice,32 oz bottle,5,4.15,20.75
INV-2025-02,"Espresso Beans, Dark Roast",NAB-012,Non-Alcoholic Beverage,Coffee,5 lb bag,18,42.37,762.66
INV-2025-02,"Drip Coffee, Medium Roast",NAB-013,Non-Alcoholic Beverage,Coffee,2 lb bag,25,16.67,416.75
INV-2025-02,"Decaf Coffee, Medium Roast",NAB-014,Non-Alcoholic Beverage,Coffee,2 lb bag,33,18.82,621.06
INV-2025-02,Black Tea Bags,NAB-015,Non-Alcoholic Beverage,Tea,box of 100,37,15.24,563.88
INV-2025-02,Green Tea Bags,NAB-016,Non-Alcoholic Beverage,Tea,box of 100,15,15.62,234.3
INV-2025-02,Herbal Chamomile Tea Bags,NAB-017,Non-Alcoholic Beverage,Tea,box of 100,23,16.68,383.64
INV-2025-02,Red Bull 8.4oz,NAB-018,Non-Alcoholic Beverage,Energy/Sports,case of 24,26,34.53,897.78
INV-2025-02,Gatorade Fruit Punch,NAB-019,Non-Alcoholic Beverage,Energy/Sports,case of 24,20,22.41,448.2
INV-2025-02,Whole Milk,NAB-020,Non-Alcoholic Beverage,Milk/Dairy Bev,half gallon,19,2.84,53.96
INV-2025-02,Oat Milk,NAB-021,Non-Alcoholic Beverage,Milk/Dairy Bev,32 oz carton,14,5.42,75.88
INV-2025-02,"Almond Milk, Unsweetened",NAB-022,Non-Alcoholic Beverage,Milk/Dairy Bev,32 oz carton,20,4.6,92.0
INV-2025-02,Root Beer Syrup BIB,NAB-023,Non-Alcoholic Beverage,Soda,5 gal bag-in-box,9,57.85,520.65
INV-2025-02,Club Soda Canister,NAB-024,Non-Alcoholic Beverage,Soda,5 gal canister,17,16.69,283.73
INV-2025-02,Grapefruit Juice,NAB-025,Non-Alcoholic Beverage,Juice,46 oz can,29,5.68,164.72
INV-2025-02,Tomato Juice,NAB-026,Non-Alcoholic Beverage,Juice,46 oz can,20,4.38,87.6
