PO Number,Line Number,Product Primary Key,Item Name,Category,Subcategory,Unit of Measure,Quantity Ordered,Unit Price,Extended Price,Discount Amount,Net Purchase Amount
PO-00013,2,DRY-019,Garlic Powder,Dry Goods & Spices,Spice,1 lb bag,7,8.38,58.66,0.0,58.66
PO-00013,3,PRD-025,"Bacon, Sliced",Produce & Meat,Meat,15 lb case,3,67.35,202.05,0.0,202.05
PO-00014,1,LIQ-008,Soy Sauce,Liquids/Pastes/Sauces,Sauce,1 gal jug,6,12.9,77.4,0.0,77.4
PO-00014,2,DRY-020,Onion Powder,Dry Goods & Spices,Spice,1 lb bag,7,9.67,67.69,0.0,67.69
PO-00014,3,FRZ-006,Tater Tots,Frozen/Refrigerated Goods,Frozen Potato,30 lb case,4,31.73,126.92,0.0,126.92
PO-00015,1,SUP-017,Butcher Paper Roll,Supplies,Paper Goods,roll,8,31.92,255.36,0.0,255.36
PO-00015,2,SUP-001,"To-Go Containers, 32oz",Supplies,To-Go,case of 150,8,37.56,300.48,0.0,300.48
PO-00015,3,ALC-002,Craft IPA Keg,Alcoholic Beverage,Beer,1/6 barrel keg,4,115.52,462.08,0.0,462.08
PO-00015,4,LIQ-015,Caesar Dressing,Liquids/Pastes/Sauces,Sauce,1 gal jug,7,19.49,136.43,0.0,136.43
PO-00016,1,DRY-021,Cayenne Pepper,Dry Goods & Spices,Spice,1 lb bag,5,9.92,49.6,2.77,46.83
PO-00016,2,ALC-023,Triple Sec,Alcoholic Beverage,Liqueur,1L bottle,6,15.35,92.1,0.0,92.1
PO-00016,3,SUP-012,Sanitizer Solution,Supplies,Cleaning,1 gal jug,2,18.89,37.78,0.0,37.78
PO-00017,1,NAB-006,Sparkling Water 12oz,Non-Alcoholic Beverage,Bottled Water,case of 24,5,17.75,88.75,0.0,88.75
PO-00017,2,PRD-026,NY Strip Steak,Produce & Meat,Meat,case,6,15.48,92.88,0.0,92.88
PO-00017,3,FRZ-018,Cream Cheese,Frozen/Refrigerated Goods,Dairy,3 lb block,3,11.96,35.88,0.0,35.88
PO-00017,4,PRD-004,"Onions, Yellow",Produce & Meat,Produce,50 lb bag,7,24.84,173.88,0.0,173.88
PO-00017,5,SUP-018,Parchment Paper Sheets,Supplies,Paper Goods,box of 1000,10,42.01,420.1,0.0,420.1
PO-00017,6,NAB-022,"Almond Milk, Unsweetened",Non-Alcoholic Beverage,Milk/Dairy Bev,32 oz carton,1,4.23,4.23,0.0,4.23
PO-00018,1,SUP-019,Plastic Wrap Roll,Supplies,Wrap/Film,roll,3,20.74,62.22,0.0,62.22
PO-00018,2,PRD-001,Romaine Lettuce,Produce & Meat,Produce,case of 24 heads,10,33.37,333.7,0.0,333.7
PO-00018,3,ALC-016,"Tequila, Reposado Premium",Alcoholic Beverage,Spirits,1L bottle,4,47.0,188.0,0.0,188.0
PO-00018,4,FRZ-030,"Pie Crust, Frozen 9in",Frozen/Refrigerated Goods,Frozen Dessert,case of 24,4,31.77,127.08,2.89,124.19
PO-00018,5,FRZ-027,"Spring Rolls, Vegetable",Frozen/Refrigerated Goods,Frozen Appetizer,case of 100,10,64.65,646.5,0.0,646.5
PO-00018,6,PRD-029,"Salmon Fillet, Fresh",Produce & Meat,Seafood,case,7,12.77,89.39,0.0,89.39
PO-00019,1,PRD-030,"Shrimp, Fresh 16/20",Produce & Meat,Seafood,case,2,12.32,24.64,0.0,24.64
PO-00019,2,PRD-018,"Spinach, Fresh",Produce & Meat,Produce,4 lb case,9,19.94,179.46,0.0,179.46
PO-00019,3,NAB-019,Gatorade Fruit Punch,Non-Alcoholic Beverage,Energy/Sports,case of 24,8,22.02,176.16,0.0,176.16
PO-00019,4,FRZ-006,Tater Tots,Frozen/Refrigerated Goods,Frozen Potato,30 lb case,9,31.64,284.76,0.0,284.76
PO-00020,1,FRZ-028,"Yogurt, Plain",Frozen/Refrigerated Goods,Dairy,5 lb tub,5,14.06,70.3,0.0,70.3
PO-00020,2,PRD-017,Cucumbers,Produce & Meat,Produce,case of 24,9,19.96,179.64,5.22,174.42
PO-00020,3,SUP-023,Food Storage Containers,Supplies,Storage,case of 100,3,36.4,109.2,0.0,109.2
PO-00020,4,FRZ-024,Frozen Chicken Wings,Frozen/Refrigerated Goods,Frozen Protein,40 lb case,7,100.43,703.01,0.0,703.01
PO-00020,5,FRZ-020,Heavy Cream,Frozen/Refrigerated Goods,Dairy,quart,1,5.07,5.07,0.0,5.07
PO-00020,6,LIQ-016,"Vinaigrette, Balsamic",Liquids/Pastes/Sauces,Sauce,1 gal jug,10,21.35,213.5,0.0,213.5
PO-00020,7,ALC-010,Prosecco,Alcoholic Beverage,Wine,case of 12,10,107.63,1076.3,0.0,1076.3
PO-00020,8,ALC-015,"Tequila, Blanco Premium",Alcoholic Beverage,Spirits,1L bottle,6,32.88,197.28,0.0,197.28
PO-00021,1,PRD-011,"Potatoes, Russet",Produce & Meat,Produce,50 lb bag,7,32.26,225.82,0.0,225.82
PO-00021,2,SUP-001,"To-Go Containers, 32oz",Supplies,To-Go,case of 150,2,37.0,74.0,0.0,74.0
PO-00021,3,DRY-028,Seasoned Bread Crumbs,Dry Goods & Spices,Breading,25 lb case,8,29.09,232.72,0.0,232.72
PO-00021,4,PRD-020,"Ginger, Fresh",Produce & Meat,Produce,10 lb case,6,29.42,176.52,0.0,176.52
PO-00021,5,DRY-008,"Penne, Dry",Dry Goods & Spices,Pasta,20 lb case,7,18.11,126.77,0.0,126.77
PO-00021,6,FRZ-010,Vanilla Ice Cream,Frozen/Refrigerated Goods,Frozen Dessert,3 gal tub,7,27.3,191.1,0.0,191.1
PO-00021,7,DRY-004,"White Rice, Long Grain",Dry Goods & Spices,Grain,50 lb bag,1,34.0,34.0,0.0,34.0
PO-00021,8,LIQ-014,Ranch Dressing,Liquids/Pastes/Sauces,Sauce,1 gal jug,6,19.22,115.32,0.0,115.32
PO-00022,1,LIQ-022,Diced Tomatoes,Liquids/Pastes/Sauces,Canned Tomato,#10 can,2,8.3,16.6,0.0,16.6
PO-00022,2,NAB-016,Green Tea Bags,Non-Alcoholic Beverage,Tea,box of 100,5,14.8,74.0,0.0,74.0
PO-00022,3,ALC-008,Pinot Noir,Alcoholic Beverage,Wine,case of 12,10,126.61,1266.1,0.0,1266.1
PO-00023,1,SUP-010,"Dish Soap, Concentrate",Supplies,Cleaning,1 gal jug,5,24.58,122.9,0.0,122.9
PO-00023,2,FRZ-026,Mozzarella Sticks,Frozen/Refrigerated Goods,Frozen Appetizer,case of 240,2,58.21,116.42,0.0,116.42
PO-00023,3,SUP-012,Sanitizer Solution,Supplies,Cleaning,1 gal jug,1,18.14,18.14,0.0,18.14
PO-00023,4,DRY-002,Bread Flour,Dry Goods & Spices,Flour,50 lb bag,6,24.39,146.34,8.61,137.73
PO-00023,5,NAB-027,Sparkling Lemon Water 12oz,Non-Alcoholic Beverage,Bottled Water,case of 24,7,15.8,110.6,0.0,110.6
PO-00023,6,PRD-006,"Bell Peppers, Green",Produce & Meat,Produce,25 lb case,6,37.79,226.74,0.0,226.74
PO-00023,7,DRY-010,"Pinto Beans, Dry",Dry Goods & Spices,Legume,25 lb bag,3,22.71,68.13,0.0,68.13
PO-00024,1,PRD-021,"Ground Beef, 80/20",Produce & Meat,Meat,case,10,5.22,52.2,0.0,52.2
PO-00024,2,FRZ-018,Cream Cheese,Frozen/Refrigerated Goods,Dairy,3 lb block,1,12.06,12.06,0.0,12.06
PO-00024,3,FRZ-025,Frozen Salmon Fillets,Frozen/Refrigerated Goods,Frozen Protein,10 lb box,8,95.4,763.2,0.0,763.2
PO-00024,4,FRZ-015,Shredded Mozzarella,Frozen/Refrigerated Goods,Dairy,5 lb bag,6,19.3,115.8,0.0,115.8
PO-00024,5,NAB-023,Root Beer Syrup BIB,Non-Alcoholic Beverage,Soda,5 gal bag-in-box,5,58.83,294.15,0.0,294.15
PO-00024,6,SUP-022,"Disposable Gloves, Vinyl",Supplies,Gloves,case of 1000,4,36.23,144.92,9.16,135.76
PO-00024,7,LIQ-020,"Curry Paste, Red",Liquids/Pastes/Sauces,Paste,14 oz can,4,6.25,25.0,0.0,25.0
PO-00024,8,SUP-006,"Straws, Wrapped",Supplies,Disposable,box of 500,8,9.81,78.48,0.0,78.48
PO-00025,1,DRY-005,Jasmine Rice,Dry Goods & Spices,Grain,50 lb bag,9,33.85,304.65,0.0,304.65
PO-00025,2,PRD-013,Celery,Produce & Meat,Produce,case of 30,9,31.44,282.96,0.0,282.96
PO-00025,3,PRD-008,Avocados,Produce & Meat,Produce,case of 48,5,67.7,338.5,0.0,338.5
PO-00025,4,DRY-016,"Paprika, Smoked",Dry Goods & Spices,Spice,1 lb bag,4,9.73,38.92,0.0,38.92
PO-00026,1,DRY-022,"Oregano, Dried",Dry Goods & Spices,Spice,1 lb bag,9,12.99,116.91,2.66,114.25
PO-00026,2,DRY-009,"Black Beans, Dry",Dry Goods & Spices,Legume,25 lb bag,5,21.48,107.4,0.0,107.4
PO-00026,3,FRZ-019,"Butter, Unsalted",Frozen/Refrigerated Goods,Dairy,36 lb case,8,106.26,850.08,17.63,832.45
PO-00026,4,ALC-001,Domestic Draft Lager Keg,Alcoholic Beverage,Beer,1/2 barrel keg,8,111.4,891.2,0.0,891.2
PO-00027,1,PRD-029,"Salmon Fillet, Fresh",Produce & Meat,Seafood,case,1,13.44,13.44,0.0,13.44
PO-00027,2,SUP-028,Chafing Fuel Cans,Supplies,Small Wares,case of 24,5,40.94,204.7,7.14,197.56
PO-00027,3,ALC-005,Light Lager Draft Keg,Alcoholic Beverage,Beer,1/2 barrel keg,7,95.14,665.98,0.0,665.98
PO-00028,1,SUP-016,"Toilet Paper, Roll",Supplies,Paper Goods,case of 48,2,41.05,82.1,0.0,82.1
PO-00028,2,FRZ-026,Mozzarella Sticks,Frozen/Refrigerated Goods,Frozen Appetizer,case of 240,4,55.95,223.8,0.0,223.8
PO-00028,3,FRZ-005,"French Fries, Straight Cut",Frozen/Refrigerated Goods,Frozen Potato,30 lb case,4,32.07,128.28,0.0,128.28
PO-00028,4,DRY-017,"Cumin, Ground",Dry Goods & Spices,Spice,1 lb bag,1,12.63,12.63,0.0,12.63
PO-00028,5,LIQ-014,Ranch Dressing,Liquids/Pastes/Sauces,Sauce,1 gal jug,8,20.5,164.0,0.0,164.0
PO-00029,1,ALC-011,Rosé,Alcoholic Beverage,Wine,case of 12,4,89.86,359.44,0.0,359.44
PO-00029,2,PRD-028,Ground Pork,Produce & Meat,Meat,case,3,3.89,11.67,0.0,11.67
PO-00029,3,LIQ-030,Honey,Liquids/Pastes/Sauces,Honey/Syrup,5 lb jug,2,19.81,39.62,2.68,36.94
PO-00029,4,LIQ-013,Teriyaki Sauce,Liquids/Pastes/Sauces,Sauce,1 gal jug,10,18.42,184.2,0.0,184.2
PO-00030,1,PRD-027,Ribeye Steak,Produce & Meat,Meat,case,10,19.84,198.4,0.0,198.4
PO-00030,2,NAB-024,Club Soda Canister,Non-Alcoholic Beverage,Soda,5 gal canister,10,15.47,154.7,0.0,154.7
PO-00030,3,LIQ-004,Sesame Oil,Liquids/Pastes/Sauces,Oil,1 gal jug,5,26.88,134.4,0.0,134.4
PO-00031,1,SUP-005,"Napkins, Dinner",Supplies,Disposable,case of 3000,6,32.25,193.5,0.0,193.5
PO-00031,2,LIQ-016,"Vinaigrette, Balsamic",Liquids/Pastes/Sauces,Sauce,1 gal jug,6,22.29,133.74,0.0,133.74
PO-00031,3,SUP-004,"Paper Bags, Kraft",Supplies,To-Go,case of 500,7,32.59,228.13,0.0,228.13
PO-00031,4,FRZ-020,Heavy Cream,Frozen/Refrigerated Goods,Dairy,quart,8,5.12,40.96,1.44,39.52
PO-00031,5,NAB-011,Lime Juice (bottled),Non-Alcoholic Beverage,Juice,32 oz bottle,7,4.12,28.84,0.0,28.84
PO-00031,6,SUP-008,"Plastic Cutlery, Spoons",Supplies,Disposable,box of 1000,1,17.8,17.8,0.0,17.8
PO-00031,7,DRY-009,"Black Beans, Dry",Dry Goods & Spices,Legume,25 lb bag,7,22.58,158.06,8.08,149.98
PO-00032,1,LIQ-016,"Vinaigrette, Balsamic",Liquids/Pastes/Sauces,Sauce,1 gal jug,9,21.63,194.67,0.0,194.67
PO-00032,2,ALC-001,Domestic Draft Lager Keg,Alcoholic Beverage,Beer,1/2 barrel keg,2,110.73,221.46,0.0,221.46
PO-00032,3,NAB-005,Still Water 16.9oz,Non-Alcoholic Beverage,Bottled Water,case of 24,3,6.61,19.83,0.0,19.83
PO-00032,4,DRY-004,"White Rice, Long Grain",Dry Goods & Spices,Grain,50 lb bag,9,36.25,326.25,0.0,326.25
PO-00032,5,ALC-023,Triple Sec,Alcoholic Beverage,Liqueur,1L bottle,8,15.46,123.68,0.0,123.68
PO-00032,6,DRY-026,Cocoa Powder,Dry Goods & Spices,Baking,5 lb bag,9,20.69,186.21,5.85,180.36
PO-00033,1,LIQ-003,Vegetable Oil,Liquids/Pastes/Sauces,Oil,35 lb jug,8,39.36,314.88,0.0,314.88
PO-00033,2,SUP-005,"Napkins, Dinner",Supplies,Disposable,case of 3000,8,32.38,259.04,0.0,259.04
PO-00033,3,NAB-010,Lemon Juice (bottled),Non-Alcoholic Beverage,Juice,32 oz bottle,9,4.67,42.03,0.0,42.03
PO-00033,4,DRY-015,"Black Pepper, Ground",Dry Goods & Spices,Spice,1 lb bag,4,14.41,57.64,0.0,57.64
PO-00033,5,PRD-010,Lemons,Produce & Meat,Produce,case of 165,7,38.13,266.91,0.0,266.91
PO-00033,6,SUP-019,Plastic Wrap Roll,Supplies,Wrap/Film,roll,1,20.49,20.49,0.0,20.49
PO-00033,7,LIQ-023,Tomato Puree,Liquids/Pastes/Sauces,Canned Tomato,#10 can,7,8.13,56.91,0.0,56.91
PO-00034,1,ALC-005,Light Lager Draft Keg,Alcoholic Beverage,Beer,1/2 barrel keg,3,98.1,294.3,19.69,274.61
PO-00034,2,PRD-030,"Shrimp, Fresh 16/20",Produce & Meat,Seafood,case,10,11.55,115.5,0.0,115.5
PO-00034,3,PRD-018,"Spinach, Fresh",Produce & Meat,Produce,4 lb case,6,19.65,117.9,0.0,117.9
PO-00034,4,NAB-002,Diet Coke Syrup BIB,Non-Alcoholic Beverage,Soda,5 gal bag-in-box,7,62.05,434.35,0.0,434.35
PO-00034,5,DRY-003,Cornmeal,Dry Goods & Spices,Flour,25 lb bag,8,17.12,136.96,0.0,136.96
PO-00034,6,DRY-020,Onion Powder,Dry Goods & Spices,Spice,1 lb bag,2,8.88,17.76,0.0,17.76
PO-00035,1,SUP-015,"Paper Towels, Roll",Supplies,Paper Goods,case of 12,5,42.55,212.75,0.0,212.75
PO-00035,2,NAB-023,Root Beer Syrup BIB,Non-Alcoholic Beverage,Soda,5 gal bag-in-box,4,57.87,231.48,0.0,231.48
PO-00035,3,FRZ-013,Frozen Mixed Berries,Frozen/Refrigerated Goods,Frozen Fruit,10 lb bag,3,34.57,103.71,0.0,103.71
PO-00035,4,ALC-025,Amaretto,Alcoholic Beverage,Liqueur,750ml bottle,7,20.61,144.27,0.0,144.27
PO-00035,5,DRY-029,Sesame Seeds,Dry Goods & Spices,Nuts/Seeds,5 lb bag,10,20.0,200.0,9.53,190.47
PO-00035,6,NAB-009,Pineapple Juice,Non-Alcoholic Beverage,Juice,46 oz can,5,4.29,21.45,0.0,21.45
PO-00035,7,NAB-018,Red Bull 8.4oz,Non-Alcoholic Beverage,Energy/Sports,case of 24,8,38.4,307.2,0.0,307.2
PO-00035,8,DRY-030,Sliced Almonds,Dry Goods & Spices,Nuts/Seeds,5 lb bag,3,30.26,90.78,6.96,83.82
PO-00036,1,LIQ-015,Caesar Dressing,Liquids/Pastes/Sauces,Sauce,1 gal jug,10,18.68,186.8,0.0,186.8
PO-00036,2,SUP-026,Hand Soap,Supplies,Chemical,1 gal jug,5,15.91,79.55,5.55,74.0
PO-00036,3,LIQ-023,Tomato Puree,Liquids/Pastes/Sauces,Canned Tomato,#10 can,1,8.07,8.07,0.0,8.07
PO-00036,4,ALC-002,Craft IPA Keg,Alcoholic Beverage,Beer,1/6 barrel keg,1,114.01,114.01,0.0,114.01
PO-00037,1,PRD-026,NY Strip Steak,Produce & Meat,Meat,case,1,14.62,14.62,0.0,14.62
PO-00037,2,SUP-019,Plastic Wrap Roll,Supplies,Wrap/Film,roll,10,19.82,198.2,0.0,198.2
PO-00037,3,SUP-018,Parchment Paper Sheets,Supplies,Paper Goods,box of 1000,5,38.89,194.45,0.0,194.45
PO-00037,4,NAB-030,Powerade Blue,Non-Alcoholic Beverage,Energy/Sports,case of 24,4,17.44,69.76,3.65,66.11
PO-00037,5,PRD-019,"Basil, Fresh",Produce & Meat,Produce,case of 12 bunches,9,24.97,224.73,0.0,224.73
PO-00038,1,PRD-001,Romaine Lettuce,Produce & Meat,Produce,case of 24 heads,7,35.34,247.38,0.0,247.38
PO-00038,2,PRD-029,"Salmon Fillet, Fresh",Produce & Meat,Seafood,case,6,13.75,82.5,3.6,78.9
PO-00038,3,NAB-026,Tomato Juice,Non-Alcoholic Beverage,Juice,46 oz can,2,4.53,9.06,0.0,9.06
PO-00038,4,FRZ-024,Frozen Chicken Wings,Frozen/Refrigerated Goods,Frozen Protein,40 lb case,5,106.82,534.1,0.0,534.1
PO-00038,5,NAB-025,Grapefruit Juice,Non-Alcoholic Beverage,Juice,46 oz can,6,5.87,35.22,1.2,34.02
PO-00038,6,ALC-005,Light Lager Draft Keg,Alcoholic Beverage,Beer,1/2 barrel keg,9,90.1,810.9,0.0,810.9
PO-00038,7,PRD-022,"Chicken Breast, Boneless",Produce & Meat,Meat,case,2,4.72,9.44,0.0,9.44
PO-00038,8,ALC-021,"Whiskey, Rye",Alcoholic Beverage,Spirits,750ml bottle,5,37.61,188.05,0.0,188.05
PO-00039,1,ALC-018,"Bourbon, Premium",Alcoholic Beverage,Spirits,750ml bottle,6,43.45,260.7,0.0,260.7
PO-00039,2,FRZ-020,Heavy Cream,Frozen/Refrigerated Goods,Dairy,quart,9,5.21,46.89,0.0,46.89
PO-00039,3,ALC-023,Triple Sec,Alcoholic Beverage,Liqueur,1L bottle,3,15.97,47.91,0.0,47.91
PO-00040,1,FRZ-023,"Frozen Shrimp, 21/25",Frozen/Refrigerated Goods,Frozen Protein,5 lb bag,6,65.82,394.92,14.44,380.48
PO-00040,2,NAB-030,Powerade Blue,Non-Alcoholic Beverage,Energy/Sports,case of 24,8,18.41,147.28,4.82,142.46
PO-00040,3,SUP-010,"Dish Soap, Concentrate",Supplies,Cleaning,1 gal jug,1,25.96,25.96,1.04,24.92
PO-00040,4,LIQ-030,Honey,Liquids/Pastes/Sauces,Honey/Syrup,5 lb jug,10,20.12,201.2,0.0,201.2
PO-00041,1,ALC-016,"Tequila, Reposado Premium",Alcoholic Beverage,Spirits,1L bottle,1,46.28,46.28,1.92,44.36
PO-00041,2,DRY-023,"Cinnamon, Ground",Dry Goods & Spices,Spice,1 lb bag,10,9.57,95.7,0.0,95.7
PO-00041,3,ALC-024,Coffee Liqueur,Alcoholic Beverage,Liqueur,750ml bottle,1,24.87,24.87,1.13,23.74
PO-00041,4,ALC-014,"Gin, Well",Alcoholic Beverage,Spirits,1.75L bottle,2,20.56,41.12,0.0,41.12
PO-00042,1,LIQ-014,Ranch Dressing,Liquids/Pastes/Sauces,Sauce,1 gal jug,2,19.97,39.94,0.0,39.94
PO-00042,2,DRY-022,"Oregano, Dried",Dry Goods & Spices,Spice,1 lb bag,2,13.79,27.58,0.0,27.58
PO-00042,3,FRZ-030,"Pie Crust, Frozen 9in",Frozen/Refrigerated Goods,Frozen Dessert,case of 24,3,32.09,96.27,3.51,92.76
PO-00042,4,PRD-019,"Basil, Fresh",Produce & Meat,Produce,case of 12 bunches,9,24.17,217.53,0.0,217.53
PO-00042,5,NAB-001,Coca-Cola Syrup BIB,Non-Alcoholic Beverage,Soda,5 gal bag-in-box,10,66.98,669.8,0.0,669.8
